Value;DecoderName
41;FH05B
52;DH05C
102;DH10C
120;DH12A
130;PD12A
131;PD05A
132;PD06A
133;PD21A
141;DH14B
160;DH16A
170;FH18A
180;DH18A
192;FH22A
200;DH21A
202;DH22A
210;SD10A
216;SD16A
218;SD18A
221;SD21A
222;SD22A
